Wage,Age,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,join_age,Preferred Foot,International Reputation,Weak Foot,Skill Moves,def_hi,def_low,def_mid,off_hi,off_low,off_mid,body_lean,body_normal,body_stocky,num2cat
17,1.8902414251220678,1.8973140925269363,0.504523738266824,0.5962441546289249,0.924429498968409,0.8246730200639238,0.510466211017817,1.6093663130460585,0.8296362618081005,1.0422224109731126,1.3959285712687484,0.10150138923695977,0.9423147379617105,-0.5944506611437328,0.11620998385810705,-0.019330993935310084,1.3094375453009843,-0.686651757927177,0.6459669927748642,-0.9954006139435533,-0.42701871580648965,0.9057639128278429,1.4288335279084985,1.3946494470080981,-1.0028746305261382,0.8598472956878314,0.6722762805311928,1.0311922470752044,0.0752290526965618,-0.1573656195815929,-0.7248280782937182,-0.41314188808915425,2.1579419008476046,-1.0,-1.0,0.5,-0.33333333333333326,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
8,0.5574765202213353,-0.1365601261083693,0.8421591271643117,-0.02507465183218054,-0.9132127217768474,0.2174027549211227,-1.4647045552320284,0.5675941229251926,-0.9052267203148865,-2.0956515145373342,-0.7320412212519285,-0.1738899769098305,-2.7833012833497706,-0.2050724988225103,-0.4120172154969277,-0.14944345311528104,0.22040037891204595,-0.8016688028061012,-0.09261595722180428,-0.8869354162846979,1.1244333658433832,0.6613403434448476,-0.5878159887422832,0.42337262780086643,0.5958374576101636,-0.8037024904071259,-2.355995253393101,0.9410643193747871,-0.23545140091755506,-0.6912392885983082,-1.3069079882045442,-0.9567496355748832,0.970021697487017,-1.0,-1.0,0.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
5,-1.0418413656595438,-0.6450286807672,-0.8460178173231347,0.2855847513983722,1.1750170745245803,-0.6327756162787989,0.15134425351784508,0.24704883365723396,0.39592051627735375,-0.7620550961953944,-0.11424353955237712,-1.826238173790572,0.010910732633840297,0.1843056634987122,-0.27996041565816904,0.6312313019645447,0.03889418451388955,0.8085698254988369,-0.25674550166550836,-2.6223785788263854,0.6072826719600922,-1.5384717810021105,-0.28905309738661183,-0.912132998609077,-1.5357786599049057,0.7558754340568966,0.16756435821047722,-0.32072666843105657,-1.322832988566964,-0.8691971782705465,-1.1128813515676022,-1.1379522180701263,-0.9306506278899229,1.0,-1.0,0.5,-0.33333333333333326,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
7,-0.7752883846793973,1.3888455378681057,-0.6772001228743896,-0.02507465183218054,-1.5814462565933043,0.8246730200639238,-0.028216725232140867,-0.23376910024470413,-0.9052267203148865,0.2577539295955009,-1.2125505292404684,0.6522841215305403,0.5697531358305624,-0.9838288234649553,-0.27996041565816904,-0.8000057490151358,-1.7761677594676744,-0.45661766816932875,-1.7339114016588453,-0.12767903267270955,-3.4006352056354126,-0.19414214939563612,-2.3057026140373935,-0.7907233962081731,-0.2923359246877819,-0.6997306287761911,-0.7409171019668108,-1.1318780177348131,-0.08011117411049663,-0.6912392885983082,-0.7248280782937182,0.31166844189181775,-0.9306506278899229,-1.0,-1.0,0.0,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
9,-1.0418413656595438,-0.1365601261083693,0.6733414327155666,-0.02507465183218054,-1.0802711054809615,-0.3898675102216784,-0.9260216189820706,-1.6762229019505184,-0.1823671444303086,0.8853287146975902,1.0527076369912198,-1.0000640753502013,-0.5479316705628818,-0.9838288234649553,-0.6761308151744451,0.37100638360460275,-1.4131553706713615,0.3485016459831403,-1.4877170849932893,0.8485077462569897,-1.719895450514717,-0.19414214939563612,-1.633486108487133,-1.276361805811789,-1.0028746305261382,0.6519035724259618,-0.33714756411023833,-0.41085459613147396,-1.0121525349528473,-0.1573656195815929,0.24530510489099203,-0.23193930559391124,-0.6930665872178055,-1.0,-1.0,-0.5,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
3,-0.7752883846793973,0.3719084285504557,0.08247950214496239,-3.1316686841377077,-0.41203757066450475,0.5817649140068034,-1.8238265127320004,-0.8748596787806215,-4.374952684560861,-1.7034172738485283,-1.0066179686739514,-1.1377597584235963,-3.3421436865464926,-1.3732069857861777,-1.0723012146907211,-1.0602306673750777,-1.0501429818750487,0.3485016459831403,-0.9953284516621769,2.0416249205044,-0.8148817362189579,0.41691677406185224,0.009709793969059511,1.516059049409002,-0.469970601147371,-3.195055307918627,-1.4475137932158126,-1.6726455839373175,-0.5461318545316719,0.37650804943512234,-0.3367748050198341,-1.1379522180701263,-0.6930665872178055,1.0,-1.0,0.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
6,1.357135463161775,0.8803769832092806,1.9394741410811513,-1.4230419663696678,0.005608388595780794,0.2174027549211227,-0.38733868273211275,-0.4741780671956731,-2.6400897024378733,-1.624970425710767,-1.075262155529457,-0.8623683922768062,-1.479335675890752,-1.6327924273336594,-1.4684716142069971,-2.101130340814845,-1.0501429818750487,-3.3320437901424325,0.1535783594437519,1.2823685368924116,1.641584059726674,1.7612464056683266,0.009709793969059511,0.3019630253999625,-0.469970601147371,-0.5957587671452563,0.2685067426746203,-0.6812383792327262,-0.23545140091755506,-1.5810287369595002,0.6333583781648762,0.31166844189181775,0.970021697487017,1.0,-1.0,0.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
50,0.2909235392411888,1.3888455378681057,1.179794516061802,1.2175629610900303,1.1750170745245803,1.1890351791496045,1.0491491472677748,1.6895026353630482,1.2633520073388471,0.2577539295955009,0.4349099552916685,0.6522841215305403,1.6874379422240067,-0.9838288234649553,-0.9402444148519624,-0.5397808306551939,1.6724499340972971,-0.9166858476850254,1.0562908538841245,-0.23614423033156504,1.1244333658433832,0.29470498937035455,0.9059984680360736,1.0304206398053861,0.9511068105293418,0.7558754340568966,1.1769882028519083,1.0311922470752044,-0.08011117411049663,0.9103817184518376,0.6333583781648762,0.49287102438706076,0.25726957547066454,1.0,-0.33333333333333337,0.0,-0.33333333333333326,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
20,1.0905824821816283,1.8973140925269363,1.4330210577349185,0.44091445301364857,1.1750170745245803,0.3388568079496829,-0.028216725232140867,0.8080030898761617,-0.03779522925339302,-0.2913740073688273,-0.5261086606854113,-0.1738899769098305,-0.5479316705628818,-0.2050724988225103,1.3047211824069351,-0.27955591229525195,0.4019065733102023,-1.8368222067164186,-0.17468072944365634,-1.863122195214397,1.3830087127850286,1.5168228362853313,0.1590912396468952,0.5447822302017704,-1.8910480128240839,0.4439598491640921,0.6722762805311928,0.7608084639739523,-0.7014720813387304,0.19855015976288393,-0.5308014416567761,-1.1379522180701263,0.49485361614278206,1.0,-1.0,0.0,-0.33333333333333326,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
6,-1.3083943466396903,1.3888455378681057,0.504523738266824,-0.646393458293286,-0.1614499951083334,-0.5113215632502387,-0.7464606402320846,0.0867761890232546,-0.4715109747841398,-0.9189487924709167,-1.281194716095974,-0.44928134305662076,-1.106774073759604,0.44389110504619383,-0.14790361581941033,-0.8000057490151358,-1.0501429818750487,-2.181873341353191,0.1535783594437519,-0.453074625649276,-0.03915569539402147,1.3946110515938335,-0.5131252659033654,-1.154952203410885,-0.469970601147371,0.2360161259022224,-0.1352627951819521,0.6706805362735349,-1.0121525349528473,-0.8691971782705465,-0.7248280782937182,-0.9567496355748832,-1.6434027499062753,-1.0,-1.0,0.0,-0.33333333333333326,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
